,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,cluster
BL21 IN,0.0,0.0,0.0,0.08,0.29,0.62,0.38,0.25,0.25,0.29,0.33,0.25,0.21,0.25,0.54,0.96,0.67,0.29,0.17,0.17,0.04,0.0,0.0,0.0,0.08,0.29,0.62,0.38,0.25,0.25,0.29,0.29,0.25,0.21,0.38,0.62,0.83,0.58,0.25,0.17,0.08,0.04,0.0,0.0,0.0,0.08,0.25,0.58,0.33,0.25,0.25,0.29,0.29,0.25,0.21,0.25,0.5,0.92,0.58,0.25,0.17,0.12,0.04,0.0,0.0,0.0,0.08,0.29,0.62,0.38,0.29,0.25,0.33,0.33,0.25,0.25,0.29,0.58,1.0,0.71,0.29,0.21,0.17,0.04,0.04,0.0,0.0,0.08,0.29,0.62,0.42,0.29,0.29,0.33,0.33,0.25,0.25,0.29,0.58,1.0,0.75,0.29,0.21,0.17,0.04,0.04,0.0,0.0,0.08,0.12,0.21,0.29,0.29,0.33,0.33,0.33,0.29,0.25,0.25,0.33,0.33,0.21,0.12,0.12,0.08,0.04,0.0,0.0,0.0,0.04,0.08,0.17,0.21,0.25,0.29,0.29,0.29,0.25,0.21,0.21,0.25,0.21,0.17,0.12,0.08,0.08,0.04,2
BL22 IN,0.04,0.0,0.0,0.08,0.33,1.0,0.5,0.33,0.29,0.29,0.33,0.29,0.29,0.29,0.46,0.83,0.67,0.38,0.29,0.25,0.08,0.04,0.0,0.0,0.08,0.33,0.96,0.5,0.29,0.25,0.29,0.29,0.29,0.29,0.38,0.58,0.79,0.54,0.33,0.25,0.21,0.08,0.04,0.0,0.0,0.08,0.33,0.83,0.42,0.25,0.25,0.29,0.33,0.29,0.29,0.33,0.5,0.83,0.62,0.38,0.29,0.25,0.08,0.04,0.0,0.0,0.08,0.38,1.0,0.58,0.33,0.29,0.33,0.38,0.33,0.29,0.29,0.5,0.88,0.67,0.42,0.33,0.25,0.08,0.04,0.0,0.0,0.08,0.38,0.96,0.54,0.38,0.33,0.38,0.42,0.38,0.33,0.38,0.58,1.0,0.79,0.46,0.38,0.33,0.17,0.04,0.0,0.0,0.04,0.12,0.21,0.33,0.46,0.46,0.42,0.5,0.5,0.54,0.54,0.58,0.54,0.42,0.38,0.38,0.33,0.17,0.04,0.0,0.0,0.04,0.08,0.17,0.25,0.33,0.38,0.38,0.42,0.42,0.46,0.46,0.5,0.46,0.42,0.42,0.42,0.33,0.17,3
BL23 IN,0.02,0.0,0.0,0.09,0.38,0.79,0.39,0.25,0.21,0.21,0.21,0.18,0.16,0.2,0.36,0.77,0.68,0.25,0.14,0.09,0.04,0.02,0.0,0.0,0.07,0.38,0.8,0.41,0.25,0.2,0.2,0.2,0.16,0.16,0.23,0.45,0.66,0.54,0.21,0.12,0.07,0.04,0.02,0.0,0.0,0.07,0.32,0.7,0.38,0.23,0.2,0.2,0.21,0.18,0.16,0.18,0.32,0.7,0.55,0.21,0.12,0.09,0.04,0.02,0.0,0.0,0.07,0.38,0.79,0.43,0.25,0.21,0.23,0.23,0.2,0.2,0.23,0.39,0.89,0.7,0.25,0.14,0.11,0.05,0.02,0.0,0.0,0.07,0.36,0.79,0.43,0.27,0.25,0.29,0.3,0.25,0.25,0.3,0.48,1.0,0.77,0.25,0.14,0.11,0.05,0.04,0.0,0.0,0.05,0.12,0.21,0.25,0.29,0.34,0.36,0.38,0.36,0.36,0.43,0.48,0.52,0.25,0.12,0.16,0.48,0.32,0.02,0.0,0.0,0.04,0.09,0.16,0.2,0.23,0.29,0.29,0.29,0.29,0.27,0.27,0.32,0.3,0.18,0.11,0.11,0.09,0.04,3
BR01 IN,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.13,0.13,0.13,0.2,0.27,0.27,0.33,0.47,0.4,0.13,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.27,0.13,0.13,0.2,0.27,0.33,0.47,0.47,0.6,0.4,0.13,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.6,0.2,0.07,0.13,0.2,0.2,0.27,0.33,0.47,0.67,0.47,0.2,0.13,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.27,0.13,0.13,0.2,0.27,0.33,0.4,0.47,0.67,0.53,0.27,0.13,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.27,0.13,0.13,0.2,0.33,0.33,0.4,0.53,0.67,0.53,0.2,0.13,0.13,0.07,0.07,0.0,0.0,0.0,0.0,0.07,0.13,0.13,0.13,0.2,0.27,0.4,0.53,0.6,0.73,0.8,0.67,0.67,0.67,0.53,0.2,0.07,0.0,0.0,0.0,0.0,0.07,0.07,0.13,0.13,0.2,0.33,0.4,0.53,0.67,0.73,1.0,0.67,0.27,0.27,0.13,0.07,0.0,3
BR02 IN,0.0,0.0,0.0,0.14,0.43,1.0,0.57,0.29,0.29,0.43,0.29,0.29,0.29,0.29,0.29,0.43,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.43,1.0,0.57,0.29,0.29,0.43,0.29,0.29,0.14,0.29,0.29,0.29,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.43,1.0,0.57,0.29,0.29,0.43,0.29,0.29,0.14,0.29,0.29,0.43,0.29,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.43,1.0,0.57,0.29,0.29,0.43,0.29,0.29,0.29,0.29,0.29,0.43,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.43,1.0,0.57,0.43,0.29,0.43,0.29,0.29,0.29,0.29,0.43,0.43,0.29,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.29,0.29,0.29,0.43,0.43,0.29,0.29,0.29,0.29,0.43,0.43,0.29,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.43,0.29,0.29,0.14,0.14,0.0,0.0,0
BR03 IN,0.0,0.0,0.0,0.0,0.37,1.0,0.37,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.0,0.5,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.87,0.37,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.0,0.5,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.25,0.25,0.25,0.25,0.25,0.12,0.12,0.12,0.25,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.25,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0
BR04 IN,0.0,0.0,0.0,0.07,0.32,0.96,0.46,0.25,0.25,0.29,0.25,0.18,0.18,0.21,0.29,0.29,0.21,0.11,0.11,0.07,0.04,0.0,0.0,0.0,0.07,0.32,1.0,0.46,0.25,0.25,0.29,0.25,0.18,0.18,0.21,0.32,0.29,0.18,0.11,0.11,0.07,0.04,0.0,0.0,0.0,0.07,0.29,0.96,0.43,0.25,0.25,0.25,0.25,0.18,0.18,0.21,0.29,0.29,0.18,0.11,0.11,0.07,0.04,0.0,0.0,0.0,0.07,0.32,0.96,0.46,0.29,0.25,0.29,0.25,0.18,0.18,0.21,0.29,0.32,0.21,0.14,0.11,0.07,0.04,0.0,0.0,0.0,0.07,0.32,0.96,0.46,0.29,0.29,0.29,0.29,0.21,0.18,0.21,0.32,0.36,0.25,0.14,0.11,0.07,0.04,0.0,0.0,0.0,0.04,0.07,0.21,0.25,0.25,0.32,0.29,0.29,0.21,0.18,0.21,0.21,0.21,0.14,0.11,0.11,0.07,0.04,0.0,0.0,0.0,0.04,0.07,0.14,0.18,0.18,0.21,0.21,0.21,0.21,0.14,0.14,0.18,0.18,0.11,0.07,0.07,0.07,0.04,0
BR05 IN,0.0,0.0,0.0,0.11,0.33,1.0,0.44,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.33,1.0,0.44,0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.33,1.0,0.44,0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.33,1.0,0.44,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.33,1.0,0.44,0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.11,0.11,0.22,0.22,0.22,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.22,0.22,0.33,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0
BR06 IN,0.0,0.0,0.0,0.1,0.4,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.4,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.4,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.9,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0
BR07 IN,0.05,0.0,0.0,0.11,0.37,0.95,0.53,0.26,0.26,0.26,0.26,0.26,0.21,0.26,0.37,0.74,0.53,0.26,0.21,0.16,0.05,0.05,0.0,0.0,0.05,0.37,1.0,0.53,0.26,0.21,0.26,0.26,0.26,0.21,0.32,0.47,0.63,0.42,0.21,0.21,0.16,0.05,0.05,0.0,0.0,0.05,0.32,0.95,0.53,0.26,0.21,0.26,0.32,0.26,0.21,0.26,0.37,0.68,0.47,0.26,0.26,0.16,0.05,0.05,0.0,0.0,0.11,0.37,1.0,0.53,0.26,0.26,0.26,0.32,0.26,0.21,0.26,0.42,0.74,0.53,0.26,0.26,0.21,0.11,0.05,0.0,0.0,0.11,0.37,0.95,0.53,0.26,0.26,0.32,0.32,0.26,0.26,0.26,0.42,0.74,0.53,0.32,0.26,0.26,0.16,0.05,0.0,0.0,0.05,0.16,0.26,0.26,0.32,0.32,0.32,0.37,0.32,0.32,0.32,0.37,0.32,0.26,0.21,0.21,0.21,0.11,0.05,0.0,0.0,0.05,0.11,0.16,0.21,0.26,0.26,0.26,0.26,0.26,0.21,0.21,0.26,0.26,0.21,0.16,0.16,0.16,0.05,3
BR08 IN,0.05,0.0,0.0,0.05,0.29,0.86,0.52,0.24,0.24,0.29,0.33,0.29,0.29,0.33,0.57,0.9,0.67,0.33,0.43,0.29,0.1,0.05,0.0,0.0,0.05,0.29,0.9,0.52,0.24,0.24,0.33,0.38,0.29,0.29,0.48,0.67,0.81,0.57,0.29,0.29,0.24,0.1,0.05,0.0,0.0,0.05,0.24,0.81,0.48,0.24,0.24,0.33,0.33,0.29,0.29,0.38,0.52,0.9,0.62,0.33,0.33,0.29,0.1,0.05,0.0,0.0,0.05,0.29,0.86,0.52,0.24,0.24,0.33,0.38,0.29,0.29,0.38,0.62,0.95,0.67,0.33,0.33,0.33,0.1,0.05,0.0,0.0,0.05,0.24,0.86,0.52,0.29,0.29,0.33,0.38,0.33,0.29,0.38,0.62,1.0,0.67,0.38,0.33,0.33,0.14,0.05,0.0,0.0,0.05,0.14,0.19,0.24,0.24,0.33,0.33,0.38,0.33,0.29,0.33,0.48,0.48,0.33,0.24,0.24,0.24,0.1,0.05,0.0,0.0,0.05,0.1,0.14,0.19,0.19,0.29,0.29,0.33,0.29,0.29,0.29,0.38,0.38,0.24,0.19,0.19,0.14,0.1,3
BR12 IN,0.04,0.0,0.0,0.04,0.23,0.69,0.38,0.19,0.19,0.23,0.23,0.23,0.23,0.23,0.38,0.92,0.73,0.35,0.27,0.15,0.08,0.04,0.0,0.0,0.04,0.27,0.73,0.38,0.19,0.23,0.23,0.27,0.23,0.23,0.35,0.5,0.85,0.58,0.31,0.23,0.15,0.04,0.04,0.0,0.0,0.04,0.23,0.65,0.35,0.19,0.19,0.23,0.23,0.23,0.19,0.27,0.38,0.92,0.65,0.31,0.27,0.19,0.08,0.04,0.0,0.0,0.04,0.27,0.69,0.38,0.23,0.23,0.27,0.27,0.23,0.23,0.27,0.42,0.96,0.69,0.35,0.31,0.23,0.08,0.04,0.0,0.0,0.04,0.23,0.69,0.38,0.23,0.23,0.27,0.27,0.27,0.23,0.31,0.42,1.0,0.73,0.35,0.31,0.23,0.08,0.04,0.0,0.0,0.04,0.08,0.15,0.23,0.23,0.31,0.27,0.31,0.27,0.27,0.31,0.35,0.35,0.23,0.19,0.19,0.15,0.08,0.04,0.0,0.0,0.04,0.08,0.12,0.19,0.19,0.23,0.27,0.27,0.23,0.23,0.23,0.27,0.27,0.19,0.15,0.15,0.12,0.04,2
BR13 IN,0.0,0.0,0.0,0.0,0.22,0.44,0.33,0.33,0.33,0.33,0.44,0.44,0.44,0.44,0.56,0.89,0.67,0.44,0.33,0.33,0.11,0.0,0.0,0.0,0.0,0.22,0.44,0.33,0.33,0.33,0.33,0.44,0.44,0.33,0.44,0.67,0.78,0.56,0.33,0.22,0.22,0.11,0.0,0.0,0.0,0.0,0.11,0.33,0.22,0.33,0.22,0.33,0.44,0.33,0.33,0.44,0.56,0.89,0.67,0.44,0.33,0.22,0.11,0.0,0.0,0.0,0.0,0.22,0.44,0.33,0.44,0.22,0.33,0.56,0.44,0.33,0.56,0.67,0.89,0.67,0.44,0.44,0.33,0.11,0.0,0.0,0.0,0.0,0.22,0.44,0.33,0.44,0.44,0.44,0.56,0.56,0.44,0.56,0.78,1.0,0.67,0.56,0.33,0.33,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.44,0.44,0.33,0.56,0.44,0.33,0.56,0.44,0.44,0.44,0.33,0.33,0.22,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.22,0.33,0.44,0.33,0.56,0.56,0.33,0.56,0.56,0.44,0.44,0.44,0.44,0.33,0.11,1
BR14 IN,0.0,0.0,0.0,0.09,0.36,1.0,0.55,0.27,0.27,0.36,0.36,0.36,0.36,0.45,0.82,0.82,0.55,0.27,0.27,0.27,0.09,0.0,0.0,0.0,0.09,0.36,1.0,0.64,0.27,0.27,0.36,0.36,0.27,0.36,0.45,0.82,0.73,0.45,0.27,0.27,0.27,0.09,0.0,0.0,0.0,0.09,0.36,1.0,0.55,0.27,0.27,0.36,0.36,0.36,0.36,0.45,0.82,0.82,0.55,0.36,0.36,0.27,0.09,0.0,0.0,0.0,0.09,0.36,1.0,0.55,0.27,0.36,0.45,0.45,0.36,0.27,0.45,0.82,0.91,0.55,0.36,0.36,0.36,0.09,0.09,0.0,0.0,0.09,0.36,1.0,0.55,0.36,0.36,0.45,0.45,0.36,0.36,0.45,0.82,0.91,0.64,0.36,0.36,0.36,0.18,0.0,0.0,0.0,0.09,0.09,0.27,0.36,0.36,0.45,0.45,0.45,0.45,0.36,0.45,0.64,0.55,0.36,0.27,0.27,0.27,0.09,0.0,0.0,0.0,0.0,0.09,0.18,0.27,0.27,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,0.27,0.27,0.27,0.18,0.09,3
BR15 IN,0.07,0.0,0.0,0.07,0.2,0.67,0.33,0.2,0.2,0.2,0.27,0.33,0.33,0.4,0.53,0.87,0.73,0.4,0.47,0.4,0.13,0.07,0.0,0.0,0.07,0.2,0.67,0.33,0.2,0.2,0.2,0.27,0.33,0.33,0.47,0.73,0.8,0.6,0.33,0.33,0.33,0.13,0.07,0.0,0.0,0.07,0.2,0.6,0.33,0.13,0.13,0.2,0.27,0.33,0.27,0.33,0.53,0.87,0.67,0.4,0.47,0.47,0.13,0.07,0.0,0.0,0.07,0.2,0.67,0.33,0.2,0.2,0.2,0.27,0.33,0.27,0.4,0.6,0.93,0.73,0.47,0.47,0.47,0.2,0.07,0.0,0.0,0.07,0.2,0.67,0.4,0.2,0.2,0.2,0.27,0.4,0.33,0.4,0.6,1.0,0.8,0.47,0.6,0.67,0.2,0.13,0.0,0.0,0.07,0.07,0.13,0.2,0.2,0.2,0.27,0.33,0.47,0.53,0.53,0.67,0.6,0.47,0.47,0.67,0.67,0.27,0.07,0.0,0.0,0.0,0.07,0.13,0.13,0.13,0.2,0.27,0.33,0.4,0.53,0.6,0.67,0.53,0.47,0.47,0.53,0.53,0.2,1
BR16 IN,0.02,0.0,0.0,0.02,0.07,0.21,0.12,0.07,0.07,0.12,0.12,0.09,0.09,0.12,0.23,0.91,0.93,0.4,0.21,0.12,0.05,0.02,0.0,0.0,0.02,0.07,0.21,0.12,0.07,0.07,0.12,0.12,0.12,0.14,0.23,0.49,0.84,0.77,0.33,0.16,0.09,0.05,0.02,0.0,0.0,0.02,0.07,0.19,0.12,0.07,0.07,0.09,0.12,0.09,0.09,0.12,0.23,0.88,0.81,0.33,0.19,0.12,0.05,0.02,0.0,0.0,0.02,0.07,0.21,0.12,0.07,0.07,0.12,0.14,0.12,0.12,0.14,0.23,0.93,0.91,0.4,0.21,0.14,0.05,0.02,0.0,0.0,0.02,0.07,0.21,0.12,0.09,0.09,0.12,0.14,0.12,0.14,0.16,0.28,1.0,0.93,0.35,0.21,0.14,0.05,0.02,0.0,0.0,0.02,0.02,0.07,0.07,0.07,0.09,0.09,0.12,0.12,0.09,0.09,0.12,0.12,0.09,0.07,0.07,0.07,0.02,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.05,0.07,0.09,0.09,0.09,0.09,0.07,0.09,0.09,0.07,0.07,0.05,0.05,0.02,2
BR17 IN,0.03,0.0,0.0,0.03,0.14,0.35,0.19,0.11,0.14,0.16,0.16,0.14,0.11,0.14,0.24,0.86,0.86,0.38,0.22,0.11,0.05,0.03,0.0,0.0,0.03,0.14,0.38,0.19,0.11,0.14,0.16,0.16,0.14,0.14,0.3,0.49,0.76,0.7,0.3,0.19,0.11,0.03,0.03,0.0,0.0,0.03,0.11,0.35,0.19,0.11,0.11,0.16,0.16,0.11,0.11,0.14,0.24,0.84,0.73,0.32,0.22,0.11,0.05,0.03,0.0,0.0,0.03,0.14,0.38,0.22,0.14,0.14,0.16,0.16,0.14,0.11,0.14,0.27,0.89,0.84,0.38,0.22,0.14,0.05,0.03,0.0,0.0,0.03,0.14,0.35,0.22,0.14,0.16,0.19,0.19,0.14,0.14,0.16,0.3,1.0,0.86,0.35,0.22,0.14,0.05,0.03,0.0,0.0,0.03,0.05,0.11,0.14,0.14,0.16,0.16,0.16,0.14,0.11,0.14,0.16,0.16,0.11,0.08,0.08,0.05,0.03,0.0,0.0,0.0,0.03,0.05,0.08,0.08,0.11,0.14,0.14,0.14,0.14,0.11,0.11,0.14,0.11,0.08,0.05,0.05,0.05,0.03,2
BR18 IN,0.0,0.0,0.0,0.1,0.3,0.9,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.3,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.9,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.3,1.0,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.9,0.5,0.3,0.3,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.0,0
BR19 IN,0.0,0.0,0.0,0.06,0.39,1.0,0.5,0.28,0.22,0.22,0.28,0.22,0.17,0.22,0.28,0.33,0.22,0.17,0.17,0.11,0.06,0.0,0.0,0.0,0.06,0.33,1.0,0.5,0.28,0.22,0.22,0.28,0.22,0.22,0.22,0.33,0.28,0.22,0.11,0.11,0.11,0.06,0.0,0.0,0.0,0.06,0.33,0.94,0.5,0.22,0.22,0.22,0.28,0.22,0.22,0.22,0.28,0.33,0.22,0.17,0.17,0.11,0.06,0.0,0.0,0.0,0.06,0.33,1.0,0.5,0.28,0.22,0.28,0.28,0.22,0.22,0.22,0.33,0.33,0.28,0.17,0.17,0.17,0.06,0.0,0.0,0.0,0.06,0.33,0.94,0.5,0.28,0.28,0.28,0.28,0.28,0.22,0.22,0.33,0.39,0.33,0.17,0.22,0.17,0.06,0.0,0.0,0.0,0.06,0.11,0.22,0.28,0.28,0.39,0.39,0.44,0.33,0.33,0.33,0.39,0.33,0.22,0.17,0.17,0.11,0.06,0.0,0.0,0.0,0.06,0.11,0.17,0.22,0.28,0.33,0.33,0.33,0.33,0.28,0.28,0.33,0.28,0.17,0.17,0.17,0.11,0.06,0
BR20 IN,0.0,0.0,0.0,0.12,0.37,0.87,0.5,0.25,0.25,0.25,0.25,0.12,0.12,0.12,0.25,0.25,0.25,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.0,0.5,0.25,0.25,0.25,0.25,0.12,0.12,0.12,0.25,0.25,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.25,0.87,0.5,0.25,0.25,0.25,0.25,0.25,0.12,0.25,0.25,0.25,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.37,1.0,0.5,0.25,0.25,0.25,0.25,0.12,0.12,0.25,0.25,0.37,0.25,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.37,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.12,0.25,0.25,0.37,0.25,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.25,0.25,0.37,0.37,0.37,0.25,0.25,0.25,0.37,0.37,0.25,0.25,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.25,0.37,0.37,0.25,0.25,0.25,0.25,0.37,0.37,0.25,0.12,0.25,0.12,0.0,0
BR21 IN,0.0,0.0,0.0,0.06,0.37,0.94,0.5,0.25,0.25,0.25,0.25,0.19,0.19,0.19,0.31,0.44,0.25,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.06,0.37,1.0,0.5,0.25,0.25,0.25,0.25,0.19,0.19,0.25,0.37,0.37,0.25,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.06,0.31,0.94,0.5,0.25,0.25,0.25,0.25,0.19,0.19,0.19,0.37,0.44,0.25,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.06,0.37,1.0,0.56,0.25,0.31,0.31,0.31,0.25,0.19,0.19,0.37,0.44,0.25,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.37,1.0,0.5,0.31,0.25,0.25,0.25,0.19,0.19,0.19,0.44,0.5,0.31,0.19,0.12,0.12,0.06,0.0,0.0,0.0,0.06,0.12,0.25,0.25,0.25,0.31,0.37,0.37,0.25,0.25,0.25,0.31,0.31,0.19,0.12,0.12,0.06,0.06,0.0,0.0,0.0,0.06,0.06,0.19,0.25,0.25,0.31,0.25,0.25,0.25,0.19,0.19,0.25,0.19,0.12,0.06,0.06,0.06,0.06,0
BR22 IN,0.0,0.0,0.0,0.05,0.37,1.0,0.47,0.21,0.21,0.21,0.21,0.16,0.11,0.16,0.21,0.26,0.16,0.11,0.11,0.05,0.0,0.0,0.0,0.0,0.05,0.37,1.0,0.53,0.21,0.21,0.21,0.21,0.16,0.11,0.16,0.21,0.21,0.16,0.11,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.32,0.89,0.47,0.21,0.16,0.21,0.21,0.16,0.11,0.16,0.21,0.26,0.16,0.11,0.11,0.05,0.05,0.0,0.0,0.0,0.05,0.37,1.0,0.53,0.26,0.21,0.21,0.21,0.16,0.16,0.16,0.21,0.26,0.16,0.11,0.11,0.11,0.05,0.0,0.0,0.0,0.05,0.37,1.0,0.53,0.26,0.21,0.21,0.21,0.16,0.16,0.16,0.21,0.32,0.21,0.11,0.16,0.11,0.05,0.0,0.0,0.0,0.05,0.11,0.21,0.26,0.26,0.32,0.37,0.32,0.26,0.21,0.21,0.32,0.26,0.16,0.11,0.11,0.11,0.05,0.0,0.0,0.0,0.05,0.11,0.16,0.21,0.26,0.26,0.26,0.26,0.21,0.16,0.21,0.21,0.21,0.11,0.11,0.11,0.05,0.05,0
